prognosis;symptoms
Drug Reaction;itching,skin_rash,burning_micturition,spotting_ urination
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Hypertension ;headache,dizziness,loss_of_balance,lack_of_concentration
Gastroenteritis;vomiting,sunken_eyes,dehydration
Pneumonia;chills,fatigue,cough,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum
Allergy;continuous_sneezing,shivering,chills
Hepatitis E;joint_pain,vomiting,fatigue,high_fever,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding
AIDS;muscle_wasting,high_fever,extra_marital_contacts
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances
Gastroenteritis;sunken_eyes,dehydration,diarrhoea
Cervical spondylosis;back_pain,weakness_in_limbs,neck_pain,loss_of_balance
Drug Reaction;itching,stomach_pain,burning_micturition,spotting_ urination
Osteoarthristis;joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints
Peptic ulcer diseae;vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching
Diabetes ;fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Hepatitis C;vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain
Varicose veins;fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf
Cervical spondylosis;back_pain,weakness_in_limbs,neck_pain,loss_of_balance
Acne;skin_rash,pus_filled_pimples,scurring
Fungal infection;itching,skin_rash,dischromic _patches
Tuberculosis;chills,vomiting,fatigue,weight_loss,cough,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Urinary tract infection;bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine
AIDS;muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Alcoholic hepatitis;vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
Allergy;continuous_sneezing,chills,watering_from_eyes
Hepatitis D;joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain
Migraine;acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances
Drug Reaction;itching,skin_rash,stomach_pain,spotting_ urination
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Impetigo;skin_rash,high_fever,red_sore_around_nose,yellow_crust_ooze
Common Cold;continuous_sneezing,chills,watering_from_eyes
Malaria;chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain
hepatitis A;joint_pain,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain
Cervical spondylosis;back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
Hepatitis C;fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
Bronchial Asthma;fatigue,cough,high_fever,breathlessness,mucoid_sputum
Dimorphic hemmorhoids(piles);pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes
Dimorphic hemmorhoids(piles);constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus
Hepatitis B;fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Gastroenteritis;sunken_eyes,dehydration,diarrhoea
Dimorphic hemmorhoids(piles);constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus
Alcoholic hepatitis;vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
Diabetes ;fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Pneumonia;vomiting,dehydration,diarrhoea
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
GERD;stomach_pain,acidity,vomiting,cough,chest_pain
Pneumonia;chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,chest_pain,fast_heart_rate,rusty_sputum
Malaria;chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain
Paralysis (brain hemorrhage);vomiting,headache,weakness_of_one_body_side,altered_sensorium
GERD;stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain
AIDS;muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Urinary tract infection;burning_micturition,bladder_discomfort,continuous_feel_of_urine
Jaundice;itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain
Jaundice;itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain
Hypertension ;headache,dizziness,loss_of_balance,lack_of_concentration
Hepatitis C;vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain
GERD;stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain
Hepatitis C;fatigue,yellowish_skin,nausea,yellowing_of_eyes,family_history
Tuberculosis;chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
GERD;stomach_pain,acidity,vomiting,cough,chest_pain
hepatitis A;joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Heart attack;breathlessness,sweating,chest_pain
Diabetes ;fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Alcoholic hepatitis;vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
Migraine;skin_rash,nodal_skin_eruptions,dischromic _patches
Impetigo;skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze
Hepatitis C;fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
Hypertension ;headache,dizziness,loss_of_balance,lack_of_concentration
Acne;pus_filled_pimples,blackheads,scurring
Gastroenteritis;vomiting,sunken_eyes,dehydration
Malaria;chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain
AIDS;muscle_wasting,high_fever,extra_marital_contacts
Hepatitis D;joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Hypothyroidism;fatigue,weight_gain,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation
Chicken pox;itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,malaise,red_spots_over_body
Chicken pox;itching,skin_rash,fatigue,lethargy,high_fever,headache,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body
Gastroenteritis;vomiting,sunken_eyes,dehydration,diarrhoea
Pneumonia;fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum
Bronchial Asthma;cough,high_fever,breathlessness,family_history,mucoid_sputum
GERD;acidity,ulcers_on_tongue,vomiting,cough,chest_pain
GERD;stomach_pain,acidity,vomiting,cough,chest_pain
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
Arthritis;muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking
Drug Reaction;itching,skin_rash,burning_micturition,spotting_ urination
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances
Chronic cholestasis;itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Malaria;chills,vomiting,high_fever,sweating,headache,diarrhoea,muscle_pain
Migraine;joint_pain,vomiting,fatigue,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances
Malaria;chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain
Typhoid;joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
Hypothyroidism;fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation
Varicose veins;sunken_eyes,dehydration,diarrhoea
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain
Bronchial Asthma;fatigue,cough,high_fever,breathlessness,family_history
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances
Impetigo;skin_rash,high_fever,blister,yellow_crust_ooze
Hepatitis B;itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Dimorphic hemmorhoids(piles);constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool
Cervical spondylosis;back_pain,weakness_in_limbs,neck_pain,dizziness
Migraine;acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances
AIDS;muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Allergy;continuous_sneezing,shivering,chills
Dimorphic hemmorhoids(piles);constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus
Bronchial Asthma;fatigue,cough,high_fever,breathlessness,mucoid_sputum
Tuberculosis;chills,vomiting,fatigue,weight_loss,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Hypoglycemia;vomiting,fatigue,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations
Pneumonia;vomiting,dehydration,diarrhoea
Typhoid;chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain
Drug Reaction;itching,skin_rash,burning_micturition,spotting_ urination
Heart attack;breathlessness,sweating,chest_pain
Heart attack;vomiting,breathlessness,sweating,chest_pain
Hypertension ;itching,skin_rash,dischromic _patches
Migraine;acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances
Hypoglycemia;vomiting,fatigue,anxiety,sweating,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations
Hypertension ;headache,chest_pain,dizziness,lack_of_concentration
Drug Reaction;itching,skin_rash,stomach_pain,burning_micturition
Arthritis;muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Pneumonia;chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum
Diabetes ;fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
GERD;stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain
Psoriasis;joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,dischromic _patches
Drug Reaction;itching,skin_rash,stomach_pain,burning_micturition
Typhoid;chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,belly_pain
Typhoid;chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Hypertension ;headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration
Dengue;skin_rash,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body
Hypertension ;headache,dizziness,loss_of_balance,lack_of_concentration
Diabetes ;fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Hepatitis C;fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
Cervical spondylosis;back_pain,neck_pain,dizziness,loss_of_balance
hepatitis A;joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain
Urinary tract infection;skin_rash,joint_pain,skin_peeling,silver_like_dusting,inflammatory_nails
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Varicose veins;cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf
Hepatitis C;vomiting,fatigue,anxiety,sweating,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Dengue;skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,red_spots_over_body
Cervical spondylosis;back_pain,neck_pain,dizziness,loss_of_balance
Gastroenteritis;vomiting,sunken_eyes,dehydration,diarrhoea
Chicken pox;itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body
Chicken pox;itching,skin_rash,fatigue,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body
Malaria;chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain
Drug Reaction;itching,stomach_pain,burning_micturition,spotting_ urination
Jaundice;itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain
Hypoglycemia;vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations
Dengue;skin_rash,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body
Allergy;continuous_sneezing,shivering,watering_from_eyes
Urinary tract infection;burning_micturition,bladder_discomfort,continuous_feel_of_urine
Allergy;continuous_sneezing,shivering,chills,watering_from_eyes
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain
Hepatitis D;joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain
Pneumonia;chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum
Diabetes ;fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Tuberculosis;chills,vomiting,fatigue,weight_loss,cough,high_fever,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Pneumonia;chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum
Gastroenteritis;sunken_eyes,dehydration,diarrhoea
Peptic ulcer diseae;vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching
Hepatitis B;fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
Gastroenteritis;vomiting,sunken_eyes,diarrhoea
Arthritis;muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking
Common Cold;continuous_sneezing,chills,fatigue,cough,high_fever,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain
Jaundice;itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain
Tuberculosis;chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Hepatitis B;itching,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Typhoid;chills,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain
Jaundice;itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain
Drug Reaction;itching,stomach_pain,burning_micturition,spotting_ urination
Chicken pox;itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body
Allergy;shivering,chills,watering_from_eyes
Pneumonia;chills,fatigue,cough,high_fever,breathlessness,sweating,phlegm,chest_pain,fast_heart_rate,rusty_sputum
Urinary tract infection;skin_rash,joint_pain,skin_peeling,silver_like_dusting,inflammatory_nails
Dengue;skin_rash,chills,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Tuberculosis;back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance
Malaria;chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain
Jaundice;itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain
Heart attack;breathlessness,sweating,chest_pain
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough
Psoriasis;skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails
Gastroenteritis;sunken_eyes,dehydration,diarrhoea
Hypertension ;headache,chest_pain,dizziness,lack_of_concentration
Chronic cholestasis;itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,cough
Tuberculosis;vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Jaundice;itching,vomiting,fatigue,weight_loss,high_fever,dark_urine,abdominal_pain
Acne;skin_rash,pus_filled_pimples,scurring
Chronic cholestasis;itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Tuberculosis;chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Peptic ulcer diseae;vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
Hepatitis D;joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Paralysis (brain hemorrhage);vomiting,headache,weakness_of_one_body_side
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Chronic cholestasis;vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
AIDS;muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts
Jaundice;itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain
Allergy;shivering,chills,watering_from_eyes
Drug Reaction;itching,stomach_pain,burning_micturition,spotting_ urination
Typhoid;chills,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain
Hypothyroidism;weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation
Allergy;continuous_sneezing,shivering,watering_from_eyes
Pneumonia;chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes
Arthritis;muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking
AIDS;muscle_wasting,high_fever,extra_marital_contacts
Peptic ulcer diseae;vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
Chronic cholestasis;itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes
Heart attack;breathlessness,sweating,chest_pain
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Alcoholic hepatitis;vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
Chicken pox;itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body
Alcoholic hepatitis;vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
Hypoglycemia;vomiting,fatigue,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations
hepatitis A;joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain
Peptic ulcer diseae;vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
Peptic ulcer diseae;vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
Tuberculosis;chills,vomiting,fatigue,weight_loss,cough,high_fever,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Allergy;shivering,chills,watering_from_eyes
Varicose veins;fatigue,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf
Diabetes ;fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria
Peptic ulcer diseae;vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching
Hepatitis B;itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Hypertension ;headache,dizziness,loss_of_balance,lack_of_concentration
GERD;stomach_pain,acidity,vomiting,cough,chest_pain
Hypoglycemia;vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations
Allergy;continuous_sneezing,shivering,chills
Hyperthyroidism;fatigue,mood_swings,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation
Allergy;continuous_sneezing,chills,watering_from_eyes
Malaria;chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain
Jaundice;itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain
Hepatitis E;joint_pain,vomiting,fatigue,high_fever,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding
Hepatitis C;fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history
Hepatitis C;fatigue,yellowish_skin,nausea,loss_of_appetite,family_history
Hypertension ;headache,chest_pain,loss_of_balance,lack_of_concentration
Alcoholic hepatitis;vomiting,yellowish_skin,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
Acne;skin_rash,pus_filled_pimples,blackheads,scurring
Varicose veins;fatigue,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf
Dengue;skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain
Gastroenteritis;sunken_eyes,dehydration,diarrhoea
Bronchial Asthma;fatigue,high_fever,breathlessness,family_history,mucoid_sputum
Fungal infection;itching,skin_rash,dischromic _patches
Bronchial Asthma;fatigue,cough,high_fever,breathlessness,family_history
Paralysis (brain hemorrhage);vomiting,headache,altered_sensorium
Cervical spondylosis;back_pain,weakness_in_limbs,neck_pain,loss_of_balance
Tuberculosis;vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Allergy;continuous_sneezing,chills,watering_from_eyes
Paralysis (brain hemorrhage);vomiting,weakness_of_one_body_side,altered_sensorium
Hepatitis B;itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections
Malaria;chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain
Hepatitis C;fatigue,yellowish_skin,nausea,loss_of_appetite,family_history
Tuberculosis;chills,vomiting,fatigue,weight_loss,cough,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Hepatitis C;vomiting,fatigue,anxiety,sweating,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations
hepatitis A;vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain
Urinary tract infection;skin_rash,joint_pain,skin_peeling,silver_like_dusting,inflammatory_nails
Gastroenteritis;sunken_eyes,dehydration,diarrhoea
Chicken pox;skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body
Chronic cholestasis;itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Chicken pox;itching,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body
Common Cold;continuous_sneezing,chills,watering_from_eyes
Alcoholic hepatitis;vomiting,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload
Bronchial Asthma;fatigue,cough,breathlessness,family_history,mucoid_sputum
Jaundice;fatigue,yellowish_skin,nausea,loss_of_appetite,family_history
Alcoholic hepatitis;vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,fluid_overload
Hypoglycemia;vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,slurred_speech,irritability,palpitations
Tuberculosis;chills,vomiting,fatigue,weight_loss,cough,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum
Jaundice;itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain
Gastroenteritis;vomiting,dehydration,diarrhoea
GERD;acidity,ulcers_on_tongue,vomiting,cough,chest_pain
